Sensor, Electrode, MCU Pin, Package Pin
generalPurposeSliderSensor,RX02,CAP0.0,23
modeKeypadSensor,RX00,CAP0.0,23
numericKeypadSensor,RX00,CAP0.0,23
scrollWheelSensor,RX00,CAP0.0,23
volumeSliderSensor,RX00,CAP0.0,23
numericKeypadSensor,TX00,CAP0.1,24
numericKeypadSensor,TX01,CAP0.2,25
numericKeypadSensor,TX02,CAP0.3,26
generalPurposeSliderSensor,RX01,CAP1.0,27
modeKeypadSensor,RX01,CAP1.0,27
numericKeypadSensor,RX01,CAP1.0,27
scrollWheelSensor,RX02,CAP1.0,27
volumeSliderSensor,RX01,CAP1.0,27
generalPurposeSliderSensor,TX00,CAP1.1,28
scrollWheelSensor,TX00,CAP1.2,29
wheelButtonSensor,TX00,CAP1.2,29
volumeSliderSensor,TX00,CAP1.3,30
generalPurposeSliderSensor,RX03,CAP2.0,32
modeKeypadSensor,RX02,CAP2.0,32
numericKeypadSensor,RX02,CAP2.0,32
volumeSliderSensor,RX02,CAP2.0,32
wheelButtonSensor,RX00,CAP2.0,32
modeKeypadSensor,TX00,CAP2.1,33
generalPurposeSliderSensor,RX00,CAP3.0,36
modeKeypadSensor,RX03,CAP3.0,36
numericKeypadSensor,RX03,CAP3.0,36
scrollWheelSensor,RX01,CAP3.0,36
volumeSliderSensor,RX03,CAP3.0,36
proxAndGuardSensor,RX00,CAP3.3,39
